disasterType,disasterDesc,latitude,longitude,regions
Flood,Flood - North Queensland Jan 2009,-16,145,Queensland
Cyclone,Cyclone Rewa,-9.860628128,162.4987793,Queensland
Cyclone,Cyclone Audrey,-12.05006504,134.2199707,Northern Territory
Cyclone,Cyclone - Darwin,-12.45970917,130.8193665,Northern Territory
Cyclone,Cyclone Vance,-12.46484184,130.837616,Western Australia
Cyclone,Cyclone Tracy,-12.46484184,130.837616,Northern Territory
Cyclone,Cyclone Joan,-13.41099358,125.859375,Western Australia
Cyclone,Cyclone Mahina,-14.1152668,144.3383789,Queensland
Flood,Flood - Katherine Floods,-14.46360493,132.2644043,Northern Territory
Flood,Flood - Katherine and Daly River,-14.46360493,132.2644043,Northern Territory
Cyclone,Cyclone - Cooktown,-15.46823978,145.254364,Queensland
Severe Storm,Severe Storm - Cape York and Townsville,-16.07979584,145.4644775,Queensland
Flood,Cyclone Steve,-16.28831482,149.9652405,Queensland
Flood,"Flood - Toowoomba, Miles, Cairns, and Townsville",-16.92245293,145.7740326,Queensland
Flood,"Flood - Queensland, Northern Territory and Western Australia",-16.92290306,145.773941,Queensland
Flood,Flood - North and Central Queensland,-16.92339897,145.7738495,Queensland
Flood,"Flood - Warmun, Kimberley",-17.01690102,128.2159424,Western Australia
Cyclone,Cyclone Larry,-17.51965332,146.0728455,Queensland
Cyclone,Cyclone - Innisfail,-17.52427864,146.0322876,Queensland
Cyclone,Cyclone Winifred,-17.69570732,146.1140442,Queensland
Cyclone,Cyclone - Coastal Queensland and New South Wales,-17.70944595,140.020752,Multiple
Cyclone,Cyclone - Gulf of Carpentaria,-17.73102951,139.54216,Queensland
Cyclone,"Cyclone Yasi, Queensland, 2011",-17.85067558,146.1099243,Queensland
Cyclone,Cyclone Broome,-17.95405579,122.2489929,Western Australia
Flood,Flood - Gulf Country,-18.16151047,139.9163818,Queensland
Flood,Flood - North Queensland Feb 2009,-18.6511116,146.1546173,Queensland
Cyclone,Cyclone Tessi,-18.86470795,146.2994385,Queensland
Cyclone,Cyclone Althea,-19.25200272,146.8206024,Queensland
Cyclone,Cyclone Agnes,-19.25200272,146.8206024,Queensland
Cyclone,Cyclone Sigma,-19.25200272,146.8206024,Queensland
Cyclone,Cyclone Leonta,-19.25200272,146.8206024,Queensland
Flood,Flood - Townsville,-19.25686264,146.8180695,Queensland
Flood,Flood - South-East Queensland Jun 2005,-19.25706673,146.8179474,Queensland
Heatwave,"Environmental - Heatwave, Townsville",-19.25743103,146.8178558,Queensland
Cyclone,Cyclone Justin,-19.39195442,155.8560638,Queensland
Cyclone,Cyclone Aivu,-19.64258766,147.590332,Multiple
Bushfire,Bushfire - Narollah Station,-20.06302643,146.259613,Queensland
Cyclone,Cyclone Ada,-20.26155281,148.9804535,Queensland
Cyclone,Cyclone George,-20.31162643,118.5752563,Western Australia
Cyclone,Cyclone Alby,-20.31162643,118.5752563,Western Australia
Flood,Flood - Burdekin River,-20.61478996,146.9641113,Queensland
Cyclone,Cyclone - Balla Balla,-20.6311779,117.7265778,Western Australia
Bushfire,Bushfire - Warenda Station Hughenden,-20.82608414,144.2017365,Queensland
Flood,Flood - Hughenden 1917,-20.82736778,144.2010498,Queensland
Cyclone,Cyclone - Mackay 1955,-21.13790703,149.1849823,Queensland
Flood,Flood - Widespread Queensland,-21.14026833,149.1857605,Queensland
Flood,Flood - Mackay,-21.14058876,149.1856689,Queensland
Cyclone,Cyclone - Mackay 1918,-21.17188644,149.2073364,Queensland
Cyclone,Cyclone Bobby,-21.63766289,115.1149368,Western Australia
Drought,Environmental - South-West Western Australia Drought,-21.93014717,114.1222,Western Australia
Flood,Flood - Clermont and Peak Downs Feb 1870,-22.81669426,147.6480103,Queensland
Flood,Flood - Clermont and Peak Downs Dec 1916,-22.81669426,147.6480103,Queensland
Flood,Flood - Widespread Coastal,-23.37712288,150.5100708,Queensland
Cyclone,Cyclone Emily,-23.41284752,150.8175659,Queensland
Bushfire,Bushfire - Saltern Creek,-23.44151306,144.2484283,Queensland
Flood,Flood - Alice Springs and Central Northern Territory,-23.49347687,132.8082275,Northern Territory
Flood,Flood - Queensland Jan 2012,-23.51173782,148.1609344,Queensland
Heatwave,Environmental - Heatwave Dec 1939,-23.55391693,148.1561279,Multiple
Cyclone,Cyclone - Rockhampton,-23.66465187,150.8230591,Queensland
Drought,Environmental - National Drought,-23.70033646,133.880722,Multiple
Flood,Flood - Queensland South Coast,-23.71833229,150.371933,Multiple
Tornado,Tornado - Bundaberg region,-24.8135376,152.4643097,Queensland
