year,rain fall,,period,average
1910,69.53,,1910-1924,-11.61133333
1911,-29.1,,1925-1939,-53.778
1912,-81.24,,1940-1954,-24.448
1913,-21.11,,1955-1969,-22.29466667
1914,-41.01,,1970-1985,40.508
1915,-84.19,,1986-2000,-3.445333333
1916,64.56,,2001-2015,40.08066667
1917,111.97,,,NaN
1918,-35.19,,,NaN
1919,-100.01,,,NaN
1920,48.53,,,NaN
1921,84.39,,,NaN
1922,-49.83,,,NaN
1923,-54.71,,,NaN
1924,-56.76,,,NaN
1925,-44.67,,,NaN
1926,-52.33,,,NaN
1927,-48.31,,,NaN
1928,-105.64,,,NaN
1929,-87.57,,,NaN
1930,24.91,,,NaN
1931,-30.11,,,NaN
1932,-79.89,,,NaN
1933,-21.52,,,NaN
1934,-27.45,,,NaN
1935,-116.33,,,NaN
1936,-61.56,,,NaN
1937,-80.22,,,NaN
1938,-102.33,,,NaN
1939,26.35,,,NaN
1940,-70.61,,,NaN
1941,14.35,,,NaN
1942,64.76,,,NaN
1943,-76.5,,,NaN
1944,-85.47,,,NaN
1945,-56.06,,,NaN
1946,-58.92,,,NaN
1947,34.1,,,NaN
1948,-80.56,,,NaN
1949,10.91,,,NaN
1950,161.46,,,NaN
1951,-96.76,,,NaN
1952,-82.03,,,NaN
1953,-39.9,,,NaN
1954,-5.49,,,NaN
1955,107.14,,,NaN
1956,135.26,,,NaN
1957,-77.36,,,NaN
1958,-47.47,,,NaN
1959,-51.67,,,NaN
1960,-7.64,,,NaN
1961,-129.9,,,NaN
1962,-29.61,,,NaN
1963,9.55,,,NaN
1964,-40.04,,,NaN
1965,-120.32,,,NaN
1966,-68.47,,,NaN
1967,-37.15,,,NaN
1968,78.5,,,NaN
1969,-55.24,,,NaN
1970,-85.63,,,NaN
1971,20.3,,,NaN
1972,-103.78,,,NaN
1973,175.07,,,NaN
1974,294.54,,,NaN
1975,127.75,,,NaN
1976,56.92,,,NaN
1977,3.83,,,NaN
1978,51.35,,,NaN
1979,-14.23,,,NaN
1980,-36.28,,,NaN
1981,61.31,,,NaN
1982,-50.9,,,NaN
1983,26.95,,,NaN
1984,80.42,,,NaN
1985,-68.5,,,NaN
1986,-80.1,,,NaN
1987,-15.95,,,NaN
1988,-11.77,,,NaN
1989,14.27,,,NaN
1990,-52.87,,,NaN
1991,-5.22,,,NaN
1992,-18.13,,,NaN
1993,21.92,,,NaN
1994,-127.36,,,NaN
1995,52.12,,,NaN
1996,-3.78,,,NaN
1997,48.13,,,NaN
1998,82.82,,,NaN
1999,112.74,,,NaN
2000,244.54,,,NaN
2001,76.76,,,NaN
2002,-133.49,,,NaN
2003,3.88,,,NaN
2004,25.55,,,NaN
2005,-71.74,,,NaN
2006,16.02,,,NaN
2007,29.61,,,NaN
2008,5.39,,,NaN
2009,-13.35,,,NaN
2010,217.66,,,NaN
2011,230.66,,,NaN
2012,5.8,,,NaN
2013,-43.42,,,NaN
2014,7.34,,,NaN
2015,-29.3,,,NaN
2016,66.06,,,NaN
2017,28.41,,,NaN
2018,-60.19,,,NaN
2019,-190.32,,,NaN
2020,20.56,,,NaN
2021,41.71,,,NaN
2022,123.21,,,NaN
2023,7.03,,,NaN
2024,135.52,,,NaN
2025,38.49,,,NaN
