year,temp,,period,average
1910,-0.49,,1910-1924,-0.454
1911,-0.67,,1925-1939,-0.377333333
1912,-0.2,,1940-1954,-0.452666667
1913,-0.86,,1955-1969,-0.187333333
1914,0.13,,1970-1985,-0.023333333
1915,0.08,,1986-2000,0.358
1916,-0.57,,2001-2015,0.584
1917,-1.24,,,NaN
1918,-0.55,,,NaN
1919,-0.15,,,NaN
1920,-0.53,,,NaN
1921,-0.23,,,NaN
1922,-0.47,,,NaN
1923,-0.38,,,NaN
1924,-0.68,,,NaN
1925,-0.77,,,NaN
1926,-0.16,,,NaN
1927,-0.51,,,NaN
1928,0.15,,,NaN
1929,-0.86,,,NaN
1930,-0.24,,,NaN
1931,-0.59,,,NaN
1932,-0.42,,,NaN
1933,-0.45,,,NaN
1934,-0.36,,,NaN
1935,-0.5,,,NaN
1936,-0.14,,,NaN
1937,-0.36,,,NaN
1938,0.17,,,NaN
1939,-0.62,,,NaN
1940,-0.23,,,NaN
1941,-0.55,,,NaN
1942,0.07,,,NaN
1943,-0.63,,,NaN
1944,-0.41,,,NaN
1945,-0.31,,,NaN
1946,-0.74,,,NaN
1947,-0.26,,,NaN
1948,-0.47,,,NaN
1949,-0.95,,,NaN
1950,-0.61,,,NaN
1951,-0.43,,,NaN
1952,-0.44,,,NaN
1953,-0.45,,,NaN
1954,-0.38,,,NaN
1955,-0.32,,,NaN
1956,-0.92,,,NaN
1957,0.04,,,NaN
1958,0.13,,,NaN
1959,0.24,,,NaN
1960,-0.66,,,NaN
1961,0.05,,,NaN
1962,-0.11,,,NaN
1963,-0.13,,,NaN
1964,-0.23,,,NaN
1965,0.24,,,NaN
1966,-0.5,,,NaN
1967,-0.22,,,NaN
1968,-0.39,,,NaN
1969,-0.03,,,NaN
1970,-0.1,,,NaN
1971,-0.22,,,NaN
1972,0.15,,,NaN
1973,0.53,,,NaN
1974,-0.7,,,NaN
1975,-0.22,,,NaN
1976,-0.75,,,NaN
1977,-0.03,,,NaN
1978,-0.31,,,NaN
1979,0.38,,,NaN
1980,0.74,,,NaN
1981,0.27,,,NaN
1982,-0.04,,,NaN
1983,0.33,,,NaN
1984,-0.38,,,NaN
1985,0.21,,,NaN
1986,0.22,,,NaN
1987,0.18,,,NaN
1988,0.74,,,NaN
1989,-0.02,,,NaN
1990,0.47,,,NaN
1991,0.6,,,NaN
1992,0.13,,,NaN
1993,0.31,,,NaN
1994,0.18,,,NaN
1995,0.16,,,NaN
1996,0.6,,,NaN
1997,0.3,,,NaN
1998,0.97,,,NaN
1999,0.32,,,NaN
2000,-0.04,,,NaN
2001,0.05,,,NaN
2002,0.71,,,NaN
2003,0.7,,,NaN
2004,0.54,,,NaN
2005,1.17,,,NaN
2006,0.5,,,NaN
2007,0.76,,,NaN
2008,0.45,,,NaN
2009,0.93,,,NaN
2010,0.34,,,NaN
2011,0,,,NaN
2012,0.25,,,NaN
2013,1.35,,,NaN
2014,1.05,,,NaN
2015,0.95,,,NaN
2016,0.99,,,NaN
2017,1.05,,,NaN
2018,1.11,,,NaN
2019,1.51,,,NaN
2020,1.13,,,NaN
2021,0.57,,,NaN
2022,0.51,,,NaN
2023,0.99,,,NaN
2024,1.45,,,NaN
2025,1.23,,,NaN
