year,temp,,period,average
1910,-0.34,,1910-1924,-0.340666667
1911,-0.49,,1925-1939,-0.3992
1912,-0.43,,1940-1954,-0.254
1913,-0.59,,1955-1969,-0.196
1914,-0.4,,1970-1985,0.036
1915,-0.18,,1986-2000,0.195333333
1916,-0.2,,2001-2015,0.388666667
1917,-0.3,,,NaN
1918,-0.28,,,NaN
1919,-0.48,,,NaN
1920,-0.29,,,NaN
1921,-0.08,,,NaN
1922,-0.28,,,NaN
1923,-0.49,,,NaN
1924,-0.28,,,NaN
1925,-0.59,,,NaN
1926,-0.46,,,NaN
1927,-0.47,,,NaN
1928,-0.3,,,NaN
1929,-0.68,,,NaN
1930,-0.058,,,NaN
1931,-0.39,,,NaN
1932,-0.45,,,NaN
1933,-0.38,,,NaN
1934,-0.37,,,NaN
1935,-0.46,,,NaN
1936,-0.39,,,NaN
1937,-0.44,,,NaN
1938,-0.13,,,NaN
1939,-0.42,,,NaN
1940,-0.34,,,NaN
1941,-0.08,,,NaN
1942,0.01,,,NaN
1943,-0.08,,,NaN
1944,-0.11,,,NaN
1945,0.05,,,NaN
1946,-0.31,,,NaN
1947,-0.46,,,NaN
1948,-0.43,,,NaN
1949,-0.45,,,NaN
1950,-0.09,,,NaN
1951,-0.4,,,NaN
1952,-0.34,,,NaN
1953,-0.41,,,NaN
1954,-0.37,,,NaN
1955,-0.25,,,NaN
1956,-0.15,,,NaN
1957,-0.3,,,NaN
1958,-0.07,,,NaN
1959,-0.05,,,NaN
1960,-0.16,,,NaN
1961,-0.12,,,NaN
1962,0.04,,,NaN
1963,-0.14,,,NaN
1964,-0.19,,,NaN
1965,-0.5,,,NaN
1966,-0.37,,,NaN
1967,-0.26,,,NaN
1968,-0.35,,,NaN
1969,-0.07,,,NaN
1970,0.09,,,NaN
1971,-0.05,,,NaN
1972,-0.13,,,NaN
1973,0.21,,,NaN
1974,0.02,,,NaN
1975,0.08,,,NaN
1976,-0.07,,,NaN
1977,-0.08,,,NaN
1978,0.12,,,NaN
1979,0.04,,,NaN
1980,0.01,,,NaN
1981,0.09,,,NaN
1982,-0.15,,,NaN
1983,0.2,,,NaN
1984,0.16,,,NaN
1985,0.22,,,NaN
1986,0.02,,,NaN
1987,0.03,,,NaN
1988,0.46,,,NaN
1989,0.39,,,NaN
1990,0.29,,,NaN
1991,0.03,,,NaN
1992,0.05,,,NaN
1993,-0.09,,,NaN
1994,-0.02,,,NaN
1995,0.19,,,NaN
1996,0.26,,,NaN
1997,0.07,,,NaN
1998,0.6,,,NaN
1999,0.43,,,NaN
2000,0.33,,,NaN
2001,0.38,,,NaN
2002,0.35,,,NaN
2003,0.33,,,NaN
2004,0.18,,,NaN
2005,0.36,,,NaN
2006,0.15,,,NaN
2007,0.32,,,NaN
2008,0.3,,,NaN
2009,0.4,,,NaN
2010,0.66,,,NaN
2011,0.5,,,NaN
2012,0.47,,,NaN
2013,0.59,,,NaN
2014,0.51,,,NaN
2015,0.52,,,NaN
2016,0.78,,,NaN
2017,0.5,,,NaN
2018,0.46,,,NaN
2019,0.33,,,NaN
2020,0.6,,,NaN
2021,0.52,,,NaN
2022,0.8,,,NaN
2023,0.54,,,NaN
2024,0.9,,,NaN
2025,0.93,,,NaN
